"<평가한 디지털 아카이브 목록과 F, A, I, R 점수 및 총점>",,,,,,
디지털 아카이브명,관리기관 / 관리자명,F score,A score,I score,R score,Total
"대한민국 신문
아카이브",국립중앙도서관,22.05882353,20,25,21.42857143,88.48739496
4.16모으다,"(사)4.16세월호
참사 가족협의회",25,20,25,3.571428571,73.57142857
디지털장서각,"한국학
중앙연구원",17.64705882,22.5,18.75,10.71428571,69.61134454
충북대학교병원 디지털아카이브,충북대학교병원,16.17647059,20,12.5,17.85714286,66.53361345
인간과기억아카이브,"(사)한국국가
기록연구원",17.64705882,20,25,3.571428571,66.21848739
경기시민사회 온라인 자료관 '톺',경기도공익활동지원센터,16.17647059,20,15.625,14.28571429,66.08718487
익산시민기록관,익산시,10.29411765,20,15.625,17.85714286,63.7762605
노근리 아카이브,노근리 디지털 아카이브 연구팀,17.64705882,17.5,25,3.571428571,63.71848739
백남준아카이브,백남준 아트센터,16.17647059,17.5,15.625,14.28571429,63.58718487
국립국악원 국악아카이브,국립국악원,16.17647059,20,9.375,17.85714286,63.40861345
서울사진 아카이브,서울기록원,17.64705882,20,18.75,3.571428571,59.96848739
한국은행 화폐박물관 디지털 아카이브,한국은행,16.17647059,20,12.5,10.71428571,59.3907563
국립공원 역사 아카이브,국립공원공단,14.70588235,17.5,12.5,14.28571429,58.99159664
김창기 아카이브,김창기,10.29411765,17.5,9.375,21.42857143,58.59768908
"전쟁과여성인권
아카이브",정의기억연대,16.17647059,20,18.75,3.571428571,58.49789916
남산예술센터 디지털 아카이브,남산예술센터,14.70588235,20,9.375,14.28571429,58.36659664
"한국 지식문화유산 디지털아카이브
'코리안메모리'",국립중앙도서관,10.29411765,20,9.375,17.85714286,57.5262605
"토박이기록
-증평기록관
디지털주제 아카이브",증평기록관,13.23529412,20,6.25,17.85714286,57.34243697
"국립공원공단
탐방 아카이브",국립공원공단,16.17647059,17.5,9.375,14.28571429,57.33718487
민속곳간,"전통공연예술
진흥재단",14.70588235,15,9.375,17.85714286,56.93802521
국립극단 디지털 아카이브,국립극단,14.70588235,15,9.375,17.85714286,56.93802521
자원봉사 아카이브,"한국중앙
자원봉사센터",16.17647059,20,6.25,14.28571429,56.71218487
몽양 여운형 아카이브,몽양기념관,17.64705882,17.5,12.5,7.142857143,54.78991597
강서아카이브,서울특별시 강서구,16.17647059,17.5,3.125,17.85714286,54.65861345
서울관광아카이브,서울관광재단,16.17647059,20,3.125,14.28571429,53.58718487
한국퀴어아카이브 퀴어락,(사)비온뒤무지개재단,16.17647059,17.5,12.5,7.142857143,53.31932773
전쟁기념관 오픈 아카이브,전쟁기념사업회,16.17647059,20,6.25,10.71428571,53.1407563
경북기록문화연구원,"경북기록문화
연구원",14.70588235,17.5,6.25,14.28571429,52.74159664
제주학 아카이브,제주학연구센터,13.23529412,15,6.25,17.85714286,52.34243697
환경아카이브:풀숲,재단법인 숲과나눔,16.17647059,20,12.5,3.571428571,52.24789916
이천시기록관,이천시기록관,13.23529412,17.5,3.125,17.85714286,51.71743697
"국립태권도박물관
태권도 라키비움 아카이브",태권도진흥재단,10.29411765,17.5,9.375,14.28571429,51.45483193
국립민속박물관 민속아카이브,국립민속박물관 파주,10.29411765,20,6.25,14.28571429,50.82983193
대통령기록관,행정안전부,13.23529412,20,3.125,14.28571429,50.6460084
안성 디지털 아카이브,경기도 안성시,8.823529412,17.5,6.25,17.85714286,50.43067227
"아카이브814
일본군 위안부 문제연구소
디지털 아카이브",일본군 '위안부' 문제연구소,13.23529412,20,6.25,10.71428571,50.19957983
"김세진이재호
기억저장소","김세진이세호
기념사업회",13.23529412,20,12.5,3.571428571,49.30672269
전통서당문화 아카이브,"한국전통서당
문화진흥회",14.70588235,17.5,6.25,10.71428571,49.17016807
카라 아카이브,(사)동물권행동 카라,16.17647059,20,9.375,3.571428571,49.12289916
한성대 성곽마을 아카이빙,정경희(한성대학교),10.29411765,17.5,3.125,17.85714286,48.7762605
아시아문화 아카이브,"국립
아시아문화전당",11.76470588,17.5,15.625,3.571428571,48.46113445
"한국기독교교회협의회
(NCCK) 아카이브",한국기독교교회협의회,16.17647059,17.5,3.125,10.71428571,47.5157563
충현디지털역사관,충현교회,16.17647059,17.5,3.125,10.71428571,47.5157563
문화도시청주 시민기록관,청주시문화산업진흥재단,16.17647059,17.5,3.125,10.71428571,47.5157563
"서울시립 미술아카이브
(SeMA AA)",서울시립 미술아카이브,10.29411765,17.5,15.625,3.571428571,46.99054622
오픈 아카이브,"민주화운동
기념사업회",16.17647059,17.5,9.375,3.571428571,46.62289916
여순사건 아카이브,전라남도 여수시,8.823529412,17.5,9.375,10.71428571,46.41281513
YMCA 아카이브,"한국
YWCA연합회",16.17647059,20,6.25,3.571428571,45.99789916
임시의정원 아카이브,국회기록보존소,16.17647059,20,6.25,3.571428571,45.99789916
여성인권운동아카이브,한국여성의전화,14.70588235,15,12.5,3.571428571,45.77731092
"대전무형유산
디지털 아카이브",대전문화재단,13.23529412,17.5,3.125,10.71428571,44.57457983
5.18민주화운동기록관,5∙18민주화운동기록관,8.823529412,15,6.25,14.28571429,44.3592437
성평등아카이브,성평등도서관 여기,10.29411765,17.5,12.5,3.571428571,43.86554622
경기도메모리,"경기
사이버도서관",16.17647059,20,3.125,3.571428571,42.87289916
제천간디학교 역사기록전시관 이음,제천간디학교,16.17647059,20,3.125,3.571428571,42.87289916
"한국독립운동
정보시스템",독립기념관,10.29411765,22.5,6.25,3.571428571,42.61554622
"민속악 현장조사
자료 DB","한국학
중앙연구원",16.17647059,20,6.25,0,42.42647059
한국영화데이터베이스,한국영상자료원,11.76470588,17.5,9.375,3.571428571,42.21113445
대전문화재단 디지털아카이브,대전문화재단,14.70588235,20,3.125,3.571428571,41.40231092
경기아트센터 아카이브,경기아트센터,10.29411765,17.5,9.375,3.571428571,40.74054622
"일제침략기 한국관련
사진그림엽서 DB","한국학
중앙연구원",16.17647059,17.5,3.125,3.571428571,40.37289916
"국외소재문화재재단
대국민 아카이브","국외소재
문화유산재단",8.823529412,15,12.5,3.571428571,39.89495798
아르코예술기록원 DA-Arts,"아르코
예술기록원",11.76470588,20,3.125,3.571428571,38.46113445
제주4∙3 아카이브,제주 4·3평화재단,10.29411765,17.5,6.25,3.571428571,37.61554622
우토로마을아카이브,"우토로
평화기념관",10.29411765,17.5,6.25,3.571428571,37.61554622
"용인문화재단
디지털 아카이브",용인문화재단,8.823529412,15,9.375,3.571428571,36.76995798
노동역사사료,전태일기념관,8.823529412,17.5,6.25,3.571428571,36.14495798
소리아카이브,다음세대제단,8.823529412,20,3.125,3.571428571,35.51995798
성북마을아카이브,성북문화원,10.29411765,17.5,3.125,3.571428571,34.49054622
평균 점수,,13.98124467,18.47826087,9.375,9.523809524,51.35831507